test_feature_year,test_event_year,validation_feature_year,validation_event_year,method,n_validation,n_validation_positive,n_test,n_test_positive,prevalence,f1_threshold_from_validation,fpr5_threshold_from_validation,validation_AUC,validation_PR_AUC,validation_F1,validation_G_Mean,validation_Recall,validation_Precision,validation_Balanced_Accuracy,validation_Cohen_Kappa,validation_Type1_Error,validation_Type2_Error,validation_Recall_at_5pctFPR,validation_Precision_at_5pctFPR,validation_Realized_FPR_at_5pctFPR,validation_Alerts_at_5pctFPR,AUC,PR_AUC,F1,G_Mean,Recall,Precision,Balanced_Accuracy,Cohen_Kappa,Type1_Error,Type2_Error,Recall_at_5pctFPR,Precision_at_5pctFPR,Realized_FPR_at_5pctFPR,Alerts_at_5pctFPR,seed,protocol_version
2009,2010,2008,2009,Recent3y,3857,58,3743,23,0.00614480363345,0.19,0.0359878726304,0.842299697743,0.101775502144,0.188976377953,0.451433590394,0.206896551724,0.173913043478,0.595946301658,0.175504062594,0.0150039484075,0.793103448276,0.379310344828,0.109452736318,0.0471176625428,201,0.84585086489,0.0413449027322,0.093023255814,0.294169618377,0.0869565217391,0.1,0.541058906031,0.0878090846034,0.00483870967742,0.913043478261,0.260869565217,0.06,0.0252688172043,100,42,study3b_overlap_event_target_v1_financial18_exploratory
2009,2010,2008,2009,B_data_equal,3857,58,3743,23,0.00614480363345,0.14,0.0321357958019,0.829887175391,0.108927191924,0.228571428571,0.520643370458,0.275862068966,0.19512195122,0.629244538036,0.214738683578,0.0173729928929,0.724137931034,0.431034482759,0.116822429907,0.0497499341932,214,0.789399251987,0.0844617741085,0.08,0.293891368557,0.0869565217391,0.0740740740741,0.540118045816,0.073853734105,0.00672043010753,0.913043478261,0.260869565217,0.0576923076923,0.0263440860215,104,42,study3b_overlap_event_target_v1_financial18_exploratory
2009,2010,2008,2009,B_model_FIFO3_equal,3857,58,3743,23,0.00614480363345,0.07,0.0378263480961,0.857480643727,0.129904431267,0.21164021164,0.578577859536,0.344827586207,0.152671755725,0.657804685444,0.194856376711,0.0292182153198,0.655172413793,0.396551724138,0.114427860697,0.0468544353777,201,0.833730715288,0.0346049010916,0.106666666667,0.414329584036,0.173913043478,0.0769230769231,0.580504908836,0.098989340107,0.0129032258065,0.826086956522,0.173913043478,0.0412371134021,0.025,97,42,study3b_overlap_event_target_v1_financial18_exploratory
2010,2011,2009,2010,Recent3y,3743,23,3625,35,0.00965517241379,0.24,0.0200969018042,0.795091164095,0.0974032102189,0.235294117647,0.416636277527,0.173913043478,0.363636363636,0.586015661524,0.232241471804,0.00188172043011,0.826086956522,0.304347826087,0.0619469026549,0.0284946236559,113,0.81009948269,0.0734351786708,0.0952380952381,0.238879197485,0.0571428571429,0.285714285714,0.527875049741,0.0923168160253,0.00139275766017,0.942857142857,0.171428571429,0.0659340659341,0.0236768802228,91,42,study3b_overlap_event_target_v1_financial18_exploratory
2010,2011,2009,2010,B_data_equal,3743,23,3625,35,0.00965517241379,0.11,0.0325883105397,0.837575970079,0.0820942132491,0.16,0.415737627189,0.173913043478,0.148148148148,0.58386512389,0.154388192009,0.00618279569892,0.826086956522,0.347826086957,0.0909090909091,0.0215053763441,88,0.861352964584,0.110937613362,0.117647058824,0.292239456134,0.0857142857143,0.1875,0.541046557899,0.112269053903,0.00362116991643,0.914285714286,0.142857142857,0.0980392156863,0.0128133704735,51,42,study3b_overlap_event_target_v1_financial18_exploratory
2010,2011,2009,2010,B_model_FIFO3_equal,3743,23,3625,35,0.00965517241379,0.2,0.0167332757264,0.847755960729,0.0733671461324,0.205128205128,0.416355657654,0.173913043478,0.25,0.585343618513,0.20110024029,0.00322580645161,0.826086956522,0.304347826087,0.0380434782609,0.0475806451613,184,0.832900915241,0.123482188589,0.139534883721,0.292566072001,0.0857142857143,0.375,0.542160764027,0.136432411551,0.00139275766017,0.914285714286,0.171428571429,0.047619047619,0.033426183844,126,42,study3b_overlap_event_target_v1_financial18_exploratory
